fhdi_drug_id,drug_name,synonyms,drug_type,summary,formula
d00525,phendimetrazine,adphen antapentan dyrexan fendimetrazina hyrex mephenmetrazine phendimetrazinum sedafamen wehless adipost tn adphen base appecon tn bontril pdm tn fendimetrazina innspanish melfiat tn obezine tn phendiet tn phendimetrazine inn phendimetrazine innban phendimetrazinum innlatin plegine tn statobex tn xtrozine anorexsr tn prelu2 tn phendimetrazine 2stransisomer d2phenyl34dimethylmorpholine morpholine 34dimethyl2phenyl 34dimethyl2phenylmorpholine phendimetrazine 2rtrans34dimethyl2phenylmorpholine 2s3s34dimethyl2phenylmorpholine 34dimethyl2phenylmorpholine 34dimethyl2phenyltetrahydro14oxazine 3phenyl2methylmorpholine,small molecular drug,phendimetrazine is a sympathomimetic amine used as adjunct therapy for the short term management of exogenous obesity,c12h17no
d00526,lofexidine,britlofex lofexidina lofexidinum britlofex tn lofexidina innspanish lofexidine inn lofexidine innban lofexidinum innlatin 1himidazole 2126dichlorophenoxyethyl45dihydro9ci 2126dichlorophenoxyethyl45dihydro1himidazole 2a26dichlorophenoxyethyl2imidazoline 2alpha26dichlorophenoxyethyl2imidazoline 2alpha26dichlorophenoxyethyl delta2imidazoline 2126dichlorophenoxyethyl45dihydro1himidazole 2126dichlorophenyloxyethyl45dihydro1himidazole,small molecular drug,lofexidine is a centrally acting alpha2adrenergic agonist used for the symptomatic treatment of acute opioid withdrawal syndrome to facilitate abrupt opioid discontinuation in adults,c11h12cl2n2o
d00527,bromocriptine,bagren bromergocryptine bromocriptin bromocriptina bromocriptinum bromocryptin bromocryptine bromoergocriptine bromoergocryptine ergoset parlodel bromocriptine ban bromocriptine methanesulfonate parlodel snaptabs altibromocriptine apobromocriptine bromocriptina innspanish bromocriptinum innlatin cb154 parlodel tn bromocriptine usaninn bromocriptine usanbaninn ergocryptine 2bromo8ci 5alpha2bromo12hydroxy21methylethyl52methylpropyl3618trioxoergotaman 5alpha2bromo12hydroxy21methylethyl52methylpropylergotaman3618trione 5alpha2bromo12hydroxy52methylpropyl2propan2yl3618trioxoergotaman 5alpha2bromo12hydroxy5isobutyl2isopropyl3618trioxoergotaman 6ar9r5bromon2r5s10as10bs10bhydroxy5isobutyl2isopropyl36dioxooctahydro2hoxazolo32apyrrolo21cpyrazin2yl7methyl466a789hexahydroindolo43fgquinoline9carboxamide 2bromo12hydroxy21methylethyl5alpha2methylpropylergotamin3618trione 2bromoalphaergocryptine 2bromoalphaergokryptin 2bromoalphaergokryptine 2bromoergocryptine methanesulfonate 2bromoergokryptine,small molecular drug,bromocriptine is a dopamine d2 receptor agonist used for the treatment of galactorrhea due to hyperprolactinemia and other prolactinrelated conditions as well as in early parkinsonian syndrome,c32h40brn5o5
d00528,fludrocortisone,fludrocortisone fluorocortisone fluorocortisol fluohydrisone florinef fluohydrocortisone astoninh fludrocortone alflorone fludronef fludrone fluodrocortisone 127311 fcortef 9alphafluorocortisol fludrocortisona fludrocortisonum fcol 9fluorocortisol 9 alpha ff 9fluorohydrocortisone cortisol 9fluoro stc 1400 9alphafludrocortisone 9afh 9alphafluorocortisol 9alphafludrocortisone fludrocortisonum innlatin fludrocortisona innspanish 9af  alflorone astonin fcol astonin h astonin merck merck brand of fludrocortisone u 5963 zk5 fcortefflorinef tn fludrocortisone inn fludrocortisone innban merck astonin astoninh tn hydrocortisone9alphafluoro pregn4ene320dione 9fluoro11beta1721trihydroxy8ci 11beta9fluoro111721trihydroxypregn4ene320dione 8s9r10s11s13s14s17r9fluoro1117dihydroxy172hydroxyacetyl1013dimethyl126781112141516decahydrocyclopentaaphenanthren3one 9 fluoro 17 hydroxycortisone 9 fluorocortisol 9 fluorohydrocortisone 9 alpha fludrohydrocortisone 9 alpha fluoro 17 hydroxycorticosterone 9 alpha fluorohydrocortisone 9 alphafludrocortisone 9 alphafluoro17hydroxycorticosterone 9 alphafluorocortisol 9 alphafluorohydrocortisone 9fluoro11beta1721trihydroxypregn4ene320dione 9fluoro11beta1721trihydroxypregn4ene320dione 9fluoro17hydroxycortisone 9alphafluoro17hydroxycorticosterone 9alphafluorohydrocortisone 9alphafluoro11beta17alpha21trihydroxy4pregnene320dione 9alphafluoro17hydroxycorticosterone 9alphafluorohydrocortisone 9alphafluorohydrocortisone,small molecular drug,fludrocortisone is a mineralocorticoid used to treat adrenocortical insufficiency and saltlosing adrenogenital syndrome,c21h29fo5
d00529,ursodeoxycholic acid,actigall antigall arsacol delursan destolit deursil litursol lyeton peptarom solutrat udca udcs urso urosiol ursacol ursobilin ursochol ursodamor ursodeoxycholate ursodiol ursofalk ursolvan ursosan acide ursodesoxycholique acido ursodeossicolico acido ursodeossicolico italian acido ursodeoxicolico acidum ursodeoxycholicum deoxyursocholic acid sodium ursodeoxycholate ursacholic acid urso ds urso forte ursodeoxy cholic acid ursodesoxycholicacid ursodexycholic acid ursodiol usan iu5 u0030 urso 250 acide ursodesoxycholique innfrench acido ursodeoxicolico innspanish acidum ursodeoxycholicum innlatin actigall tn cholitursan deursil tn domursodiol c isoursodeoxycholic acid phlursodiol c pmsursodiol c u9000 urso tn urso forte tn ursodiol usp ursosan tn ursodeoxycholic acid jp15inn ursodeoxycholic acid udca ursosan ursofalk urso forte udiliv ursodiol cholan24oic acid 37dihydroxy 3alpha5beta7beta9ci 3alpha5beta7beta37dihydroxycholan24oic acid 3alpha5beta7beta8xi37dihydroxycholan24oic acid 4r43r5s7s8r9s10s13r14s17r37dihydroxy1013dimethyl23456789111214151617tetradecahydro1hcyclopentaaphenanthren17ylpentanoic acid 17beta1methyl3carboxypropyletiocholane3alpha7betadiol 3 alpha7 betadihydroxy5 betacholan24oic acid 37dihydroxycholan24oic acid 3alpha7betadihydroxy5betacholanoic acid 3alpha7betadihydroxycholanic acid 3alpha7betadioxycholanic acid 3alpha7betadihydroxy5betacholan24oic acid 3alpha7betadihydroxy5betacholanic acid 5betacholan24oic acid3alpha7betadiol 5betacholanic acid3alpha7betadiol 7betahydroxylithocholic acid 7betahydroxylithocholic acid,small molecular drug,ursodeoxycholic acid is a bile acid used for the treatment of primary biliary cirrhosis pbc,c24h40o4
d00530,benznidazole,benznidazole radanil benzonidazole 22994850 benznidazol benzonidazol benznidazolumro 071051 rochagan uniiyc42nrj1zd benznidazolum innlatin benznidazol innspanish ro 71051 nsc 299972 benznidazole inn ccris 2200,small molecular drug,benznidazole is a trypanocidal agent used to treat chagas disease,c12h12n4o3
d00531,doxorubicin,doxorubicin 23214928 doxil doxorubicine adriablastin doxorubicinum 14hydroxydaunomycin 14hydroxydaunorubicine doxorubicina adriamycin semiquinone doxorubicinum innlatin doxorubicine innfrench doxorubicina innspanish myocet fi 106 doxorubicin usaninnban ccris 739 ndc 38242874 hsdb 3070 unii80168379ag ncic01514 einecs 2454956 chembl53463 chebi28748 512naphthacenedione adm adr thermodox aerosolized doxorubicin doxorubicin citrate rdf rubex conjugate of doxorubicin with humanized monoclonal antibody ll1 against cd74 dm2 jt9100000 adiblastine hydrochloride salt adr iablatina hydrochloride salt adriablastine hydrochloride salt adriablatina hydrochloride salt adriacin hydrochloride salt adriamycin pfs tn adriamycin pfs hydrochloride salt adriamycin rdf tn adriamycin rdf hydrochloride salt adriblastina tn adriblastina hydrochloride salt adriblatina hydrochloride salt caelyx tn conjugate of doxorubicin with monoclonal antibody p4d10 against gp120 doxsl doxorubicin hydrochloride hydrochloride salt doxorubicinhll1 doxorubicinhll1 conjugate farmablastina hydrochloride salt hydroxydaunomycin hydrochlor ide hydrochloride salt hydroxydaunomycin hydrochloride hydrochloride salt hydroxydaunorubicin hydrochloride hydrochloride salt myocet tn rubex tn rubex hydrochloride salt tlc d99 doxorubicin usaninn doxorubicinp4d10 doxorubicinp4d10 conjugate cantide  adriamycin,small molecular drug,doxorubicin is a medication used to treat various cancers including aidsassociated kaposis sarcoma and metastatic cancers,c27h29no11
d00532,pivampicillin,pivaloylampicillin pivampicilina pivampicilline pivampicillinum pondocillin ampicillin pivaloyl ester ampicillin pivaloyloxymethyl ester pivaloyloxymethyl ampicillinate pivampicillin monohydrochloride mk 191 pivampicilina innspanish pivampicillin inn pivampicillin innban pivampicilline innfrench pivampicillinum innlatin pondocillin tn 22dimethylpropanoyloxymethyl 6beta2r2amino2phenylacetamido22dimethylpenam3alphacarboxylate 22dimethylpropanoyloxymethyl 2s5r6r62r2amino2phenylacetylamino33dimethyl7oxo4thia1azabicyclo320heptane2carboxylate,small molecular drug,pivampicillin is an ampicillin prodrug used to treat a variety of infections,c22h29n3o6s
d00533,amoxicillin,ampc actimoxi amoclen amolin amopen amopenixin amoxi amoxibiotic amoxicaps amoxicilina amoxicillanyl amoxicilline amoxicillinum amoxiden amoxil amoxivet amoxycillin anemolin aspenil biomox bristamox cemoxin clamoxyl delacillin dispermox efpenix flemoxin hiconcil histocillin hydroxyampicillin ibiamox imacillin lamoxy larotid moxacin moxal moxatag ospamox pamoxicillin piramox polymox robamox sumox tolodina trimox unicillin utimox vetramox wymox amoxicillin crystalline amoxicillin pediatric amoxicillin anhydrous amoxicilline inn amoxycillin trihydrate metafarma capsules metifarma capsules sawamox pm blp 1410 amk tn actimoxi tn alphamox tn amoksibos tn amoksiklav tn amoximast amoxibiotic tn amoxicilina tn amoxicilina innspanish amoxicillin inn amoxicillin tn amoxicillin anhydrous amoxicilline innfrench amoxicillinum innlatin amoxiclav tn amoxidal tn amoxil tn amoxin tn apoamoxi augmentin tn blp 1410 brl2333 bactox tn betalaktam tn cilamox tn clamoxyl tn curam tn damoxicillin dedoxil tn dispermox tn duomox tn enhancin tn geramox tn gimalxina tn hiconcil tn isimoxin tn klavox tn lamoxy tn moxatag tn moxilen tn moxypen tn moxyvit tn nobactam tn novamoxin tn ospamox tn phydroxyampicillin pamoxicillin tn panamox tn panklav tn polymox tn ro 108756 samthongcillin tn sandoz tn senox tn sinacilin tn tolodina tn trimox tn wymox tn yucla tn zerrsox tn zimox tn apoamoxi tn alphaaminophydroxybenzylpenicillin d2amino24hydroxyphenylacetamidopenicillanic acid dalphaaminophydroxybenzylpenicillin 62amino2phydroxyphenylacetamido33dimethyl7oxo4thia1azabicyclo320heptane2carboxylic acid 2s5r6r62r2amino24hydroxyphenylacetylamino33dimethyl7oxo4thia1azabicyclo320heptane2carboxylic acid 2s5r6r62r2amino24hydroxyphenylacetylamino33dimethyl7oxo4thia1azabicyclo320heptane2carboxylic acid 4thia1azabicyclo320heptane2carboxylic acid 62amino2phydroxyphenylacetamido33dimethyl7oxo d8ci 6dalphaaminophydroxyphenylacetamidopenicillanic acid 6dphydroxyalphaaminobenzylpenicillin 6phydroxyalphaaminophenylacetamidopenicillanic acid 6beta2r2amino24hydroxyphenylacetamido22dimethylpenam3alphacarbonyl 6beta2r2amino24hydroxyphenylacetamido22dimethylpenam3alphacarboxylic acid,small molecular drug,amoxicillin is a penicillin derivative used for the treatment of infections caused by grampositive bacteria in particular streptococcal bacteria causing upper respiratory tract infections,c16h19n3o5s
d00534,tramadol,conzip ryzolt tramadol hydrochloride ultram er rybix odt ultram,small molecular drug,tramadol is a centrallyacting opioid agonist and snri serotoninnorepinephrine reuptake inhibitor used for the management of moderate to severe pain in adults,c16h25no2
d00535,oxcarbazepine,epilexter epliga oxacarbazepine oxcarbamazepine oxcarbazepime oxcarbazepina oxcarbazepinum timox trileptal desitin brand of oxcarbazepine novartis brand of oxcarbazepine oxcarbazepine inn gp 47680 o0363 gp47680 kin493 oxaleptal tn oxcarbazepina innspanish oxcarbazepinum innlatin spn804 trileptal tn oxcarbazepine usaninn 1011dihydro10oxo5hdebenzbfazepine5carboxamide 1011dihydro10oxo5hdibenzbfazepine5carboxamide 1011dihydro10oxo5hdibenzbfazepine5carboxamide 1011dihydro10oxo5hdibenzobfazepine5carboxamide 1011dihydro10oxo5hdibenzbfazepine5carboxamide 10oxo1011dihydro5hdibenzobfazepine5carboxamide 5oxo6hbenzob1benzazepine11carboxamide,small molecular drug,oxcarbazepine is an antiepileptic used in the treatment of partialonset seizures,c15h12n2o2
d00536,difenoxin,difenoxin difenoxina difenoxinum diphenoxilic acid diphenoxylic acid,small molecular drug,difenoxin is an antidiarrheal agent used as an adjunct for the management of acute nonspecific diarrhea and acute exacerbations of chronic functional diarrhea,c28h28n2o2
d00537,carbidopa,atamet carbidopum lodosin lodosyn methyldopahydrazine stalevo carbidopa monohydrate carbidopa anhydrous carbidopa hydrate carbidopum monohydricum mk 486 alphamethyldopahydrazine c126 cdopa carbidopa anhydrous carbidopum innlatin lodosyn tn lodosyn carbidopa mk485 mk486 naminomethyldopa carbidopa usaninnban carbidopa1wasser hadrazinoalphamethyldopa lalphamethyldopahydrazine carbidopa sisomer carbidopa entacapone  levodopa scarbidopa scarbidopa lalpha34dihydroxybenzylalphahydrazinopropionic acid monohydrate alphahydrazinoalphamethylbeta34dihydroxyphenylpropionic acid l334dihydroxyphenyl2methyl2hydrazinopropionic acid lalphamethylalphahydrazinobeta34dihydroxyphenylpropionic acid lalphamethylbeta34dihydroxyphenylalphahydrazinopropionic acid salphahydrazino34dihydroxyalphamethylhydrocinnamic acid monohydrate salphahydrazino34dihydroxy2methylbenzenepropanoic acid benzenepropanoic acid alphahydrazino34dihydroxyalphamethyl monohydrate s kinson 334dihydroxyphenyl2hydrazino2methylpropionic acid hydrocinnamic acid lalphahydrazino34dihydroxyalphamethyl monohydrate lalphahydrazino34dihydroxyalphamethylhydrocinnamic acid lalphahydrazino34dihydroxyalphamethylhydrocinnamic acid monohydrate 2s334dihydroxyphenyl2hydrazino2methylpropanoic acid 2s334dihydroxyphenyl2hydrazinyl2methylpropanoic acid 2s334dihydroxyphenyl2hydrazinyl2methylpropanoic acid hydrate 2s334dihydroxyphenyl2hydrazinyl2methylpropanoic acid monohydrate 2s334dihydroxyphenyl2hydrazinyl2methylpropanoic acidwater 11 scarbidopa scarbidopa hydrate salphahydrazino34dihydroxyalphamethylbenzenepropanoic acid monohydrate scarbidopa scarbidopahydrate alphasalphahydrazino34dihydroxyalphamethylbenzenepropanoic acid alphasalphahydrazino34dihydroxyalphamethylbenzenepropanoic acid monohydrate,small molecular drug,carbidopa is a dopa decarboxylase inhibitor used in combination with levodopa for the symptomatic treatment of idiopathic parkinson disease and other conditions associated with parkinsonian symptoms,c10h14n2o4
d00538,ademetionine,ceritan samyr transmetil ademetionine butandisulphonate ademetionine disulfate tosylate ademetionine sulfate tosilate fd1561 fo1561,small molecular drug,physiologic methyl radical donor involved in enzymatic transmethylation reactions and present in all living organisms it possesses antiinflammatory activity and has been used in treatment of chronic liver disease,c15h22n6o5s
d00539,amineptine,amineptin amineptino amineptinum amineptine inn s 1694 amineptine inn amineptino innspanish amineptinum innlatin survector tn 1011dihydrodibenzoadcyclohept5enyl7aminoheptanoic acid 71011dihydro5hdibenzoadcyclohepten5ylaminoheptanoic acid 71011dihydro5hdibenzoadcyclohepten5ylaminoheptanoic acid,small molecular drug,for the treatment of depression,c22h27no2
d00540,zidovudine,zidovudine azidothymidine 30516871 3azido3deoxythymidine retrovir azt zidovudinum compound s thymidine 3azido3deoxy zidovudine azt zidovudin bw a509u zidovudinum latin zidovudina spanish bwa509u drg0004 3azido23dideoxythymidine zdv unii4b9xt59t7s 3deoxy3azidothymidine ccris 105 aztec bwa509u bwa509u hsdb 6515 3azido3deoxythymidine aids chembl129 nsc 602670 bwa 509u mls000028548 4b9xt59t7s  azt antiviral azidodeoxythymidine zvd zidovudin zidovudina azt antiviral azt transplacental carcinogenesis study antiviral azt cpd s racemic liposomal azt zidovudine ep iii bwa 509u k7 p ti2 w10 o40 azt  epo azt  hpa azt  lymphoblastoid interferon azt  sst azt  rst4 azt  scd4 azt  srcd4 azt antiviral aztpro 140 azt antiviral apozidovudine bwa509u intron a  azt novoazt propolisazt retrovir tn retrovirtm retrovis tn zidovudinepro 140 azt  colonystimulating factor 2 azt  concanavalin a cona azt  gmcsf azt  ifnalpha azt  il1 azt  il2 azt  il6 azt  li  epo azt  np from phca or hsa azt  pm19 ds4152  azt liposomal aztsn1 liposomal aztsn3 pcsodaztrifnbeta seron  azt azt  cd4178pe 40 azt  li  gmcsf azt  li  il1 azt  li  il6 azt  rifnalpha2 racemicdipalmitoylglycerophosphoazt in a lipid vesicle zidovudine januspinn zidovudine usaninnbanjan azt  rscd4  rifnalphaa sn1dipalmitoylglycerophosphoazt in a lipid vesicle sn3dipalmitoylglycerophosphoazt in a lipid vesicle azt  interferonalpha2 metsdf1beta  azt metsdf1beta  zidovudine interferon ad  3azido3deoxythymidine 13azido23dideoxybetadribofuranosylthymine 3primeazido3primedeoxythymidine 3 azido 23 dideoxythymidine 3 azido 3 deoxythymidine 3azido3deoxythymidine  concanavalin a 3azido3deoxythymidine  erythropoietin 3azido3deoxythymidine  heteropolyoxotungstate pm19 3azido3deoxythymidine  interleukin1 3azido3deoxythymidine  interleukin2 3azido3deoxythymidine  interleukin6 3azido3deoxythymidine  lithium  erythropoietin 3azido3deoxythymidine  lithium  interleukin1 3azido3deoxythymidine  lithium  interleukin6 3azido3deoxythymidine  lymphoblastoid interferon 3azido3deoxythymidine  shosaikoto 3azido3deoxythymidine  interferonalpha 3azidothymidine 3azido3deoxythymidine azt 3azido3deoxythymidine dendrigen ctce0422,small molecular drug,zidovudine is a dideoxynucleoside used in the treatment of hiv infection,c10h13n5o4
d00541,tobramycin,aktob brulamycin distobram gotabiotic nebramycin nebcin nebicin obracin obramycin sybryx toy tenebrimycintenemycin tobacin tobi tobracin tobradex tobradistin tobralex tobramaxin tobramicin tobramicina tobramitsetin tobramycetin tobramycine tobramycinum tobrased tobrasone tobrex deoxykanamycin b nebramycin vi tobramycin sulfate tobramycin for inhalation tobramycin solution for inhalation a 12253a lilly 47663 nf 6 nebramycin 6 nebramycin factir 6 nebramycin factor 6 nebcin sulfate sprcab01 tobradex tn tobracin tn tobramicina innspanish tobramycin free base tobramycine innfrench tobramycinum innlatin tobrex tn tobramycin jp15usp tobramycinusanbaninnjan toa162tb41toc toa16tob41toc 1epitobramycin 3deoxykanamycin b,small molecular drug,tobramycin is an aminoglycoside antibiotic used to treat cystic fibrosisassociated bacterial lower respiratory tract urinary tract eye skin bone and skin structure infections,c18h37n5o9
d00542,paclitaxel,c47h51no14 weekly paclitaxel micellar paclitaxel paclitaxel usaninnban schembl15000506 benzenepropanoic acid betabenzoylaminoalphahydroxy 612bbisacetyloxy12benzoyloxy2a344a56910111212a12bdodecahydro411dihydroxy4a81313tetramethyl5oxo711methano1hcyclodeca34benz12boxet9yl ester 2ar2aalpha4beta4abeta6beta9alphaalpharbetas11alpha12alpha12aalpha12balpha,small molecular drug,paclitaxel is a taxoid chemotherapeutic agent used as firstline and subsequent therapy for the treatment of advanced carcinoma of the ovary and other various cancers including breast and lung cancer,c47h51no14
d00543,etoposide,etoposide 33419420 vepesid toposar transetoposide lastet etoposide zuyeyidal etoposidum etoposido vepesid j eposin etoposidum innlatin etoposide vp16 vp 16213 vp 16 pharmaceutical etoposido innspanish etopophos phosphate salt vp16213 4demethylepipodophyllotoxin betadethylideneglucoside vp 16213 unii6plq3cp4p3 nk 171 nsc 141540 ccris 2392 hsdb 6517 4demethylepipodophyllotoxin 946orethylidenebetadglucopyranoside einecs 2515091 nsc141540 eposide etopol etosid vepeside demethyl epipodophyllotoxinethylidine glucoside e0675 demethylepiodophyllotoxin ethylidene glucoside epipodophyllotoxin vp16213 eposin tn etopophos tn transetoposide vepesid tn vepesid tn demethyepipodophyllotoxin ethylidene glucoside vp16 tn demethylepipodophyllotoxinbetadethylideneglucoside etoposide jp15uspinn etoposide usaninnbanjan eposin vepesid vp16 toposar etoposide epipodophyllotoxin 4demethyl 46oethylidenebetadglucopyranoside epipodophyllotoxin 4demethyl 46oethylidenebetadglucopyranoside 8ci epipodophyllotoxin 4demethyl 946oethylidenebetadglucopyranoside 4demethylepipodophyllotoxin 946orethylidenebetadglucopyranoside 4demethylepipodophyllotoxin 946oethylidenebetadglucopyranoside 4demethylepipodophyllotoxin ethylidenebetadglucoside 4odemethyl1o46oethylidenebetadglucopyranosylepipodophyllotoxin 4demethylepipodophyllotoxinbetadethylideneglucoside,small molecular drug,etoposide is a podophyllotoxin derivative used to treat testicular and small cell lung tumors,c29h32o13
d00544,halofantrine,halfan halofantrino halofantrine hydrochloride halofantrine hcl halofantrine hydrochloride usan halofantrine usan halofantrino spanish wr 171669 dlwr 171669 halfan tn halofantrine hydrochloride usan wr 171699 wr171669 wr171699 skf102866 wr171669 halofantrine hydrochloride 1halofantrine 13dichloroalpha2dibutylaminoethyl6trifluoromethyl9phenanthrenemethanol 13dichloroalpha2dibutylaminoethyl6trifluoromethyl9phenathrenemethanol 13dichloro6trifluoromethyl93dibutylamino1hydroxypropylphenanthrene hcl 13dichloroalpha2dibutylaminoethyl6trifluoromethyl9phenanthrenemethanol hydrochloride 13dichloroalpha2dibutylaminoethyl6trifluoromethylphenanthren1methanol hydrochloride 113dichloro6trifluoromethyl9phenanthryl3dinbutylaminopropanol hydrochloride 113dichloro6trifluoromethyl9phenanthryl3dinbutylaminopropanol hcl 3dibutylamino113dichloro6trifluoromethylphenanthren9ylpropan1ol hydrochloride 3dibutylamino113dichloro6trifluoromethylphenanthren9ylpropan1ol 3dibutylamino113dichloro6trifluoromethylphenanthren9ylpropan1ol hydrochloride 93dibutylamino1hydroxypropyl13dichloro6trifluoromethylphenanthrene hydrochloride 9phenanthrenemethanol 13dichloroalpha2dibutylaminoethyl6trifluoromethyl1 9phenanthrenemethanol 13dichloroalpha2dibutylaminoethyl6trifluoromethyl hydrochloride 9phenanthrenemethanol 13dichloroalpha2dibutylaminoethyl6trifluoromethylhydrochloride,small molecular drug,halofantrine is an antimalarial used for the treatment of severe malaria,c26h30cl2f3no
d00545,ribavirin,ribavirin 36791045 tribavirin rebetol virazole ribavirine copegus vilona ribamide ribasphere ribamidil viramid ribamidyl ribavirinum ribavirina rebetron varazid rtca ribavirin capsules ribavirinum innlatin ribavirine innfrench ribavirina innspanish icn1229 rebretron virazid ribav 1betadribofuranosyl124triazole3carboxamide drg0028 1betadribofuranosyl1h124triazole3carboxamide unii49717awg6k ribavirin copegus  copegus cotronak rbv rtc ravanex ribacine ribovirin viramide virazide r 9644 sch 18908 cvirin copegus tn drug ribavirin ks1104 r964 rg964 rebetol tn ribasphere tn ribavirin usaninn vilona tn virazole ribavirin inhalation solution virazole tn aa50407617051 ro 209963000 ro209963 ribavirin januspinn 1betadribofuranosyl124triazolo3carboxamide 12r3r4s5r34dihydroxy5hydroxymethyloxolan2yl124triazole3carboxamide 12r3r4s5r34dihydroxy5hydroxymethyloxolan2yl1h124triazole3carboxamide 1betadribofuranosyl1h124triazole3carboxamide rbi034 25a antisense compound  ribavirin,small molecular drug,ribavirin is a guanosine nucleoside used to treat some forms of hepatitis c,c8h12n4o5
d00546,pentosan polysulfate,elmiron pentosan sulfuric polyester polypentose sulfate elmiron tn xylanhydrogen sulfate 2r3r4s5r2hydroxy52s3r4s5r5hydroxy34disulfooxyoxan2yloxy3sulfooxyoxan4yl hydrogen sulfate,small molecular drug,pentosan polysulfate is a sulfated pentosyl polysaccharide used to treat bladder pain and discomfort due to interstitial cystitis,c10h18o21s4
d00547,cefradine,anspor cefradin cefradina cefradinum cephradin cephradine eskacef sefril velosef cephradine sodium skf d 39304 sq 11436 velosef 125 velosef 250 velosef 500 anspor tn cefradina innspanish cefradinum innlatin cephradine usp cephradine anhydrous cephradine usanban sq11436 sq22022 velosef tn cefradine janinn skf d39304 skd39304 6r7r7r2amino214cyclohexadien1ylacetamido3methyl8oxo5thia1azabicyclo420oct2ene2carboxylic acid 6r7r72r2amino2cyclohexa14dien1ylacetylamino3methyl8oxo5thia1azabicyclo420oct2ene2carboxylic acid 6r7r72r2amino2cyclohexa14dien1ylacetylamino3methyl8oxo5thia1azabicyclo420oct2ene2carboxylic acid 7d2amino214cyclohexadien1ylacetamido3methyl8oxo5thia1azabicyclo420oct2ene2caboxylic acid 7d2amino214cyclohexadienylacetamidedesacetoxycephalosporanicacid 7beta2r2cyclohexa14dienyl2phenylacetamido3methyl34didehydrocepham4carboxylic acid,small molecular drug,cefradine is a firstgeneration cephalosporin antibiotic used in the treatment of bacterial infections of the respiratory and urinary tracts and of the skin and soft tissues,c16h19n3o4s
d00548,methyldopa,amd aldometil aldomin alphamethyldopa baypresol becanta dopamet dopamethyperpax dopatec dopegit dopegyt dopergit grospisk hyperpax hypolag medomet medopa medopal medopren methoplain methyldopum metildopa novomedopa presinol presolisin sedometil sembrina alpha medopa methyl dopa methyldopa anhydrous aldoril d30 aldoril d50 bayer 1440 l lt00847269 mk 351 aldomet tn aldoril tn alphamethyl dopa alphamethyldihydroxyphenylalanine alphamethyldopa apomethyldopa dopamet tn dopegyt tn lmethyl dopa lmethyldopa methyl dopa see also methyl dopa sesquihydrate mk351 methyldopa inn methyldopa anhydrous methyldopum innlatin metildopa innspanish mk b51 nrc 2294 numedopa alphamethyldopa van lalphamethyl dopa lalphamethyldopa methylldopa aldoril dopamet dopegyt methyldopa lalphamd methyldopa l alphamethyll34dihydroxyphenylalanine lalphamethyl34dihydroxyphenylalanine l334dihydroxyphenyl2methylalanine levo334dihydroxyphenyl2methylalanine alphamethylbeta34dihydroxyphenyllalanine lbeta34dihydroxyphenylalphamethylalanine l2amino2methyl334dihydroxyphenylpropionic acid l334dihydroxyphenyl2methylalanine lalphamethylbeta34dihydroxyphenylalanine 334dihydroxyphenyl2methyllalanine sesquihydrate 2s2amino334dihydroxyphenyl2methylpropanoic acid salphamethyldopa 334dihydroxyphenyl2methyllalanine 3hydroxyalphamethylltyrosine 3hydroxyalphamethylltyrosine,small molecular drug,methyldopa is a centrallyacting alpha2 adrenergic agonist used to manage hypertension alone or in combination with hydrochlorothiazide and to treat hypertensive crises,c10h13no4
d00549,bezafibrate,azufibrat befibrat befizal bezalande bezapuren bezabeta bezacur bezafibrat bezafibrato bezafibratum bezafisalbezalip bezamerck bezatol cedur difaterol durabezur eulitop lipox reducterol sklerofibrat solibay azupharma brand of bezafibrate bayer brand of bezafibrate berlin chemie brand of bezafibrate betapharm brand of bezafibrate beza lande beza puren bezafibrat pb bezafibrate azupharma brand bezafibrate bayer brand bezafibrate betapharm brand bezafibrate cryopharma brand bezafibrate elfar brand bezafibrate hennig brand bezafibrate hexal brand bezafibrate isis brand bezafibrate lakeside brand bezafibrate merckle brand bezafibrate roche brand bezafibrate synthelabo brand bezafibrate tad brand bezafibrate teva brand bezafibrato spanish bezalip retard bezatol sr boehringer mannheim brand of bezafibrate cryopharma brand of bezafibrate elfar brand of bezafibratehennig brand of bezafibrate hexal brand of bezafibrate isis brand of bezafibrate lakeside brand of bezafibrate merckle brand of bezafibrate regadrin b roche brand of bezafibrate synthelabo brand of bezafibrate tad brand of bezafibrate teva brand of bezafibrate bm 15075 lo 44 bf759 bm 15075 bm15075 bm15075 berlinchemie brand of bezafibrate bezalande bezapuren bezafibrate berlinchemie brand bezafibrato innspanish bezafibratum innlatin bezalip tn bezatol sr tn pb bezafibrat bm15075 bezafibrate jp15usaninn bezafibrate usanbaninnjan a44chlorobenzoylaminoethylphenoxyisobutyric acid 2424chlorobenzoylaminoethylphenoxy2methylpropanoic acid 2p2pchlorobenzamidoethylphenoxy2methylpropionic acid 2424chlorobenzamidoethylphenoxy2methylpropanoic acid 2424chlorobenzamidoethylphenoxy2methylpropanoic acid 2424chlorobenzamidoethylphenoxyisobutyric acid 2424chlorobenzoylaminoethylphenoxy2methylpropanoic acid,small molecular drug,bezafibrate is a lipidlowering fibrate used in the management of primary and secondary hyperlipidaemia when there is a lack of clinical improvement following lifestyle modifications or correction of the underlying disorder,c19h20clno4
